"","BEGIN_IMAGE_NUM","CMTE_NM","CMTE_ID","RECEIPT_DT","lobbyist_registrant_pac"
"3550",12030944975,"HAWAII SENATORIAL CAUCUS","C00535435","02-NOV-12","Y"
"3551",201508119000813888,"HAWAIIAN AIRLINES INC POLITICAL ACTION COMMITTEE","C00456939","11-AUG-15","Y"
"3552",201702139049346720,"HCA INC. GOOD GOVERNMENT FUND","C00067231","13-FEB-17","Y"
"3553",29933398550,"HCA INC. GOOD GOVERNMENT FUND","C00067231","26-MAR-09","Y"
"3554",201702109049341728,"HCA INC. GOOD GOVERNMENT FUND","C00067231","10-FEB-17","Y"
"3555",201703039050598528,"HCR MANOR CARE PAC","C00260141","03-MAR-17","Y"
"3556",201703099050762048,"HCR MANOR CARE PAC","C00260141","09-MAR-17","Y"
"3557",15950017126,"HCR MANOR CARE PAC","C00260141","12-JAN-15",""
"3558",15970273535,"HCR MANOR CARE PAC","C00260141","20-FEB-15","Y"
"3559",12954213879,"HCR MANOR CARE PAC","C00260141","27-SEP-12","Y"
"3560",11990189666,"HCR MANOR CARE PAC","C00260141","01-FEB-11","Y"
"3561",10930471373,"HCR MANOR CARE PAC","C00260141","06-APR-10","Y"
"3562",14978101919,"HEALTH CARE SERVICE CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE","C00199711","08-OCT-14","Y"
"3563",201801319091182752,"HEALTH CARE SERVICE CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE","C00199711","31-JAN-18","Y"
"3564",14960482418,"HEALTH CARE SERVICE CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE","C00199711","27-FEB-14","Y"
"3565",11971579711,"HEALTH INDUSTRY DISTRIBUTORS ASSOCIATION POLITICAL ACTION COMMITTEE","C00486498","14-OCT-11","Y"
"3566",11990070778,"HEALTH INDUSTRY DISTRIBUTORS ASSOCIATION POLITICAL ACTION COMMITTEE","C00486498","20-JAN-11","Y"
"3567",10030392294,"HEALTH INDUSTRY DISTRIBUTORS ASSOCIATION POLITICAL ACTION COMMITTEE","C00486498","20-JUL-10","Y"
"3568",11930457391,"HEALTH NET INCORPORATED POLITICAL ACTION COMMITTEE","C00230789","08-MAR-11","Y"
"3569",201603309012199616,"HEALTH NET INCORPORATED POLITICAL ACTION COMMITTEE","C00230789","30-MAR-16","Y"
"3570",29991786391,"HEALTH NET INCORPORATED POLITICAL ACTION COMMITTEE","C00230789","23-MAR-09","Y"
"3571",12030814877,"HEALTH PAL","C00516880","29-MAY-12",""
"3572",12030761054,"HEALTH PAL","C00516880","26-MAR-12","Y"
"3573",14953218091,"HEALTHCARE ASSOCIATION OF NEW YORK STATE AND ALLIED ASSOCIATIONS' FEDERAL PAC (HANYS FEDERAL PAC)","C00160259","22-DEC-14","Y"
"3574",13940696598,"HEALTHCARE ASSOCIATION OF NEW YORK STATE AND ALLIED ASSOCIATIONS' FEDERAL PAC (HANYS FEDERAL PAC)","C00160259","09-MAY-13","Y"
"3575",13940949925,"HEALTHCARE ASSOCIATION OF NEW YORK STATE AND ALLIED ASSOCIATIONS' FEDERAL PAC (HANYS FEDERAL PAC)","C00160259","24-JUN-13","Y"
"3576",29991794674,"HEALTHCARE ASSOCIATION OF NEW YORK STATE AND ALLIED ASSOCIATIONS' FEDERAL PAC (HANYS FEDERAL PAC)","C00160259","26-MAR-09","Y"
"3577",11971586769,"HEALTHCARE DISTRIBUTION ALLIANCE POLITICAL ACTION COMMITTEE","C00247569","14-OCT-11",""
"3578",201606229020090592,"HEALTHCARE DISTRIBUTION ALLIANCE POLITICAL ACTION COMMITTEE","C00247569","22-JUN-16",""
"3579",29933382101,"HEALTHCARE DISTRIBUTION ALLIANCE POLITICAL ACTION COMMITTEE","C00247569","20-MAR-09","Y"
"3580",201601079004439776,"HEALTHCARE SUPPLY CHAIN ASSOCIATION POLITICAL ACTION COMMITTEE (HSCA PAC)","C00423863","07-JAN-16","Y"
"3581",29933395846,"HEALTHCARE SUPPLY CHAIN ASSOCIATION POLITICAL ACTION COMMITTEE (HSCA PAC)","C00423863","24-MAR-09","Y"
"3582",12950185942,"HEALTHCARE SUPPLY CHAIN ASSOCIATION POLITICAL ACTION COMMITTEE (HSCA PAC)","C00423863","23-JAN-12","Y"
"3583",29934250474,"HEALTHCARE SUPPLY CHAIN ASSOCIATION POLITICAL ACTION COMMITTEE (HSCA PAC)","C00423863","14-JUL-09","Y"
"3584",11972707272,"HEALTHCARE SUPPLY CHAIN ASSOCIATION POLITICAL ACTION COMMITTEE (HSCA PAC)","C00423863","01-DEC-11","Y"
"3585",201607149020456128,"HEALTHCARE SUPPLY CHAIN ASSOCIATION POLITICAL ACTION COMMITTEE (HSCA PAC)","C00423863","14-JUL-16","Y"
"3586",29030111302,"HEALTHSPRING INC. POLITICAL ACTION COMMITTEE","C00463703","08-JUL-09","Y"
"3587",11930275778,"HEALTHSPRING INC. POLITICAL ACTION COMMITTEE","C00463703","31-JAN-11",""
"3588",12970425123,"HEALTHSPRING INC. POLITICAL ACTION COMMITTEE","C00463703","16-FEB-12",""
"3589",29933361376,"HEARPAC OF HEARING INDUSTRIES ASSOCIATION","C00437798","17-MAR-09","Y"
"3590",201610049032164704,"HEARPAC OF HEARING INDUSTRIES ASSOCIATION","C00437798","04-OCT-16","Y"
"3591",201511209003408128,"HEARPAC OF HEARING INDUSTRIES ASSOCIATION","C00437798","20-NOV-15","Y"
"3592",201808029119343616,"HEARPAC OF HEARING INDUSTRIES ASSOCIATION","C00437798","02-AUG-18","Y"
"3593",11931301020,"HEINEKEN USA INC GOOD GOVERNMENT FUND","C00358234","06-MAY-11",""
"3594",11931583457,"HEINEKEN USA INC GOOD GOVERNMENT FUND","C00358234","02-JUN-11",""
"3595",12950193268,"HEINEKEN USA INC GOOD GOVERNMENT FUND","C00358234","24-JAN-12",""
"3596",15950885642,"HEINEKEN USA INC GOOD GOVERNMENT FUND","C00358234","20-MAR-15","Y"
"3597",11930663431,"HEINEKEN USA INC GOOD GOVERNMENT FUND","C00358234","14-APR-11",""
"3598",13964454291,"HELICOPTER ASSOCIATION INTERNATIONAL POLITICAL ACTION COMMITTEE (HAIPAC)","C00453399","29-JUL-13","Y"
"3599",29933399642,"HELICOPTER ASSOCIATION INTERNATIONAL POLITICAL ACTION COMMITTEE (HAIPAC)","C00453399","27-MAR-09","Y"
"3600",10930957690,"HELICOPTER ASSOCIATION INTERNATIONAL POLITICAL ACTION COMMITTEE (HAIPAC)","C00453399","15-JUL-10","Y"
"3601",10931459537,"HELICOPTER ASSOCIATION INTERNATIONAL POLITICAL ACTION COMMITTEE (HAIPAC)","C00453399","15-OCT-10","Y"
"3602",15950037598,"HERBALIFE INTERNATIONAL INC. PAC","C00393298","15-JAN-15","Y"
"3603",14953204335,"HERBALIFE INTERNATIONAL INC. PAC","C00393298","09-DEC-14","Y"
"3604",11990095173,"HERBALIFE INTERNATIONAL INC. PAC","C00393298","26-JAN-11","Y"
"3605",29991763388,"HERBALIFE INTERNATIONAL INC. PAC","C00393298","18-MAR-09","Y"
"3606",201512159004207648,"HERBALIFE INTERNATIONAL INC. PAC","C00393298","15-DEC-15","Y"
"3607",201607139020419680,"HERBALIFE INTERNATIONAL INC. PAC","C00393298","13-JUL-16","Y"
"3608",201704199052329152,"HERBALIFE INTERNATIONAL INC. PAC","C00393298","19-APR-17","Y"
"3609",201803169096563040,"HERBALIFE INTERNATIONAL INC. PAC","C00393298","16-MAR-18","Y"
"3610",15950833885,"HERBALIFE INTERNATIONAL INC. PAC","C00393298","27-FEB-15","Y"
"3611",29993405981,"HERCULES INCORPORATED VOLUNTARY POLITICAL ACTION COMMITTEE","C00402313","03-DEC-09","Y"
"3612",29992075501,"HERCULES INCORPORATED VOLUNTARY POLITICAL ACTION COMMITTEE","C00402313","07-MAY-09","Y"
"3613",201705119053516576,"THE HERSHEY COMPANY POLITICAL ACTION COMMITTEE","C00200139","11-MAY-17","Y"
"3614",201703229051880672,"THE HERSHEY COMPANY POLITICAL ACTION COMMITTEE","C00200139","22-MAR-17","Y"
"3615",201701259041475776,"THE HERSHEY COMPANY POLITICAL ACTION COMMITTEE","C00200139","25-JAN-17",""
"3616",15970260263,"THE HERSHEY COMPANY POLITICAL ACTION COMMITTEE","C00200139","05-FEB-15","Y"
"3617",29030054720,"THE HERSHEY COMPANY POLITICAL ACTION COMMITTEE","C00200139","18-MAR-09","Y"
"3618",201803099095659232,"THE HERSHEY COMPANY POLITICAL ACTION COMMITTEE","C00200139","09-MAR-18","Y"
"3619",12970156670,"HERZOG CONTRACTING CORP. POLITICAL ACTION COMMITTEE","C00391979","27-JAN-12","Y"
"3620",12950232209,"HERZOG CONTRACTING CORP. POLITICAL ACTION COMMITTEE","C00391979","27-JAN-12","Y"
"3621",14950083886,"HERZOG CONTRACTING CORP. POLITICAL ACTION COMMITTEE","C00391979","21-AUG-14","Y"
"3622",29992074108,"HERZOG CONTRACTING CORP. POLITICAL ACTION COMMITTEE","C00391979","07-MAY-09",""
"3623",11990237091,"HERZOG CONTRACTING CORP. POLITICAL ACTION COMMITTEE","C00391979","28-FEB-11","Y"
"3624",29991794348,"HERZOG CONTRACTING CORP. POLITICAL ACTION COMMITTEE","C00391979","26-MAR-09",""
"3625",29935596881,"HERZOG CONTRACTING CORP. POLITICAL ACTION COMMITTEE","C00391979","18-DEC-09","Y"
"3626",29991794271,"HEWLETT PACKARD ENTERPRISE COMPANY PAC (HPE PAC)","C00196725","26-MAR-09","Y"
"3627",10931195644,"HEWLETT PACKARD ENTERPRISE COMPANY PAC (HPE PAC)","C00196725","26-AUG-10","Y"
"3628",12970858433,"HEWLETT PACKARD ENTERPRISE COMPANY PAC (HPE PAC)","C00196725","06-APR-12","Y"
"3629",12952174514,"HEWLETT PACKARD ENTERPRISE COMPANY PAC (HPE PAC)","C00196725","20-JUN-12","Y"
"3630",12961245512,"HEWLETT PACKARD ENTERPRISE COMPANY PAC (HPE PAC)","C00196725","05-NOV-12","Y"
"3631",13940920233,"HEWLETT PACKARD ENTERPRISE COMPANY PAC (HPE PAC)","C00196725","19-JUN-13","Y"
"3632",201508119000812864,"HEWLETT PACKARD ENTERPRISE COMPANY PAC (HPE PAC)","C00196725","11-AUG-15","Y"
"3633",12950032840,"HEWLETT PACKARD ENTERPRISE COMPANY PAC (HPE PAC)","C00196725","04-JAN-12","Y"
"3634",13961137406,"HEXCEL CORPORATION POLITICAL ACTION COMMITTEE","C00345173","07-MAR-13","Y"
"3635",201709059072958112,"HEXCEL CORPORATION POLITICAL ACTION COMMITTEE","C00345173","05-SEP-17","Y"
"3636",12971227911,"HEXCEL CORPORATION POLITICAL ACTION COMMITTEE","C00345173","17-MAY-12","Y"
"3637",11030674483,"HIGH-NEED HOSPITAL PAC INC; THE","C00345017","18-OCT-11","Y"
"3638",29030061429,"HIGH-NEED HOSPITAL PAC INC; THE","C00345017","01-APR-09","Y"
"3639",201609069023773312,"HIGHMARK PAC OF HIGHMARK INC.","C00302844","06-SEP-16","Y"
"3640",29991868254,"HIGHMARK PAC OF HIGHMARK INC.","C00302844","27-MAR-09","Y"
"3641",10930028788,"HIGHMARK PAC OF HIGHMARK INC.","C00302844","13-JAN-10","Y"
"3642",11931218324,"HIGHMARK PAC OF HIGHMARK INC.","C00302844","20-APR-11","Y"
"3643",11931273719,"HIGHMARK PAC OF HIGHMARK INC.","C00302844","27-APR-11","Y"
"3644",14960868257,"HIGHMARK PAC OF HIGHMARK INC.","C00302844","30-APR-14","Y"
"3645",15971203441,"HIGHMARK PAC OF HIGHMARK INC.","C00302844","10-JUN-15","Y"
"3646",201602059008440096,"HIGHMARK PAC OF HIGHMARK INC.","C00302844","05-FEB-16","Y"
"3647",29991868302,"HILL & KNOWLTON INC. POLITICAL ACTION COMMITTEE","C00183087","27-MAR-09","Y"
"3648",29933786788,"HILL & KNOWLTON INC. POLITICAL ACTION COMMITTEE","C00183087","21-MAY-09","Y"
"3649",14950066865,"HILL-ROM HOLDINGS INC. POLITICAL ACTION COMMITTEE (HRPAC)","C00448993","20-AUG-14","Y"
"3650",201605119015432576,"HILL-ROM HOLDINGS INC. POLITICAL ACTION COMMITTEE (HRPAC)","C00448993","11-MAY-16","Y"
"3651",10990699699,"HILL-ROM HOLDINGS INC. POLITICAL ACTION COMMITTEE (HRPAC)","C00448993","20-MAY-10","Y"
"3652",29991778050,"HILL-ROM HOLDINGS INC. POLITICAL ACTION COMMITTEE (HRPAC)","C00448993","20-MAR-09","Y"
"3653",14960674765,"HILLTOP HOLDINGS INC PAC","C00482125","14-APR-14","Y"
"3654",201804259111728096,"HILLTOP HOLDINGS INC PAC","C00482125","25-APR-18",""
"3655",10930706927,"HILLTOP HOLDINGS INC PAC","C00482125","12-MAY-10","Y"
"3656",10030314663,"HILLTOP HOLDINGS INC PAC","C00482125","27-APR-10","Y"
"3657",10030314572,"HILLTOP HOLDINGS INC PAC","C00482125","27-APR-10",""
"3658",29992639494,"HILTON WORLDWIDE POLITICAL ACTION COMMITTEE","C00213074","27-AUG-09",""
"3659",29993401204,"HILTON WORLDWIDE POLITICAL ACTION COMMITTEE","C00213074","25-NOV-09","Y"
"3660",29933465895,"HILTON WORLDWIDE POLITICAL ACTION COMMITTEE","C00213074","08-APR-09",""
"3661",29934693419,"HILTON WORLDWIDE POLITICAL ACTION COMMITTEE","C00213074","28-SEP-09",""
"3662",10931097862,"HILTON WORLDWIDE POLITICAL ACTION COMMITTEE","C00213074","12-AUG-10","Y"
"3663",201508149000830144,"HILTON WORLDWIDE POLITICAL ACTION COMMITTEE","C00213074","14-AUG-15","Y"
"3664",201808019119337472,"HMS HOLDINGS CORP. POLITICAL ACTION COMMITTEE (HMS PAC)","C00440453","01-AUG-18","Y"
"3665",14941271932,"HMS HOLDINGS CORP. POLITICAL ACTION COMMITTEE (HMS PAC)","C00440453","27-MAY-14","Y"
"3666",201601299004918560,"HMS HOLDINGS CORP. POLITICAL ACTION COMMITTEE (HMS PAC)","C00440453","29-JAN-16","Y"
"3667",201801039090365504,"HNTB HOLDINGS LTD. PAC","C00386029","03-JAN-18",""
"3668",29991791281,"HNTB HOLDINGS LTD. PAC","C00386029","25-MAR-09","Y"
"3669",13940624927,"HNTB HOLDINGS LTD. PAC","C00386029","03-MAY-13","Y"
"3670",15970295444,"HNTB HOLDINGS LTD. PAC","C00386029","10-MAR-15","Y"
"3671",13031140351,"HOBBS STRAUS TRIBAL SOVEREIGNTY DEFENSE PAC","C00551697","07-NOV-13","Y"
"3672",10930943911,"HOGAN LOVELLS POLITICAL ACTION COMMITTEE","C00261339","14-JUL-10","Y"
"3673",10931082760,"HOGAN LOVELLS POLITICAL ACTION COMMITTEE","C00261339","04-AUG-10","Y"
"3674",29991785556,"HOGAN LOVELLS POLITICAL ACTION COMMITTEE","C00261339","23-MAR-09","Y"
"3675",13960512806,"HOLLAND & KNIGHT COMMITTEE FOR EFFECTIVE GOVERNMENT","C00171330","29-JAN-13","Y"
"3676",13960511983,"HOLLAND & KNIGHT COMMITTEE FOR EFFECTIVE GOVERNMENT","C00171330","29-JAN-13","Y"
"3677",12952887809,"HOLLAND & KNIGHT COMMITTEE FOR EFFECTIVE GOVERNMENT","C00171330","11-SEP-12","Y"
"3678",29993304634,"HOLLAND & KNIGHT COMMITTEE FOR EFFECTIVE GOVERNMENT","C00171330","30-OCT-09","Y"
"3679",29933347678,"HOLLAND & KNIGHT COMMITTEE FOR EFFECTIVE GOVERNMENT","C00171330","12-MAR-09","Y"
"3680",29991785367,"THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE","C00284885","23-MAR-09","Y"
"3681",10990351781,"THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE","C00284885","05-MAR-10","Y"
"3682",10991817145,"THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE","C00284885","05-NOV-10","Y"
"3683",11971733790,"THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE","C00284885","20-OCT-11","Y"
"3684",15950625844,"THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE","C00284885","19-FEB-15","Y"
"3685",14978042107,"THE HOME DEPOT INC. POLITICAL ACTION COMMITTEE","C00284885","30-SEP-14","Y"
"3686",29992058322,"HOMECARE & HOSPICE PAC","C00431981","30-APR-09","Y"
"3687",29933374008,"HOMECARE & HOSPICE PAC","C00431981","20-MAR-09","Y"
"3688",10930056131,"HOMECARE & HOSPICE PAC","C00431981","20-JAN-10","Y"
"3689",11932322412,"HOMECARE & HOSPICE PAC","C00431981","08-SEP-11","Y"
"3690",14961600164,"HOMECARE & HOSPICE PAC","C00431981","15-JUL-14",""
"3691",201512139004176576,"HONDURAN GOVERNMENT RELATIONS BUREAU OF AMERICA","C00596486","13-DEC-15","Y"
"3692",11030554008,"HONEST GOVERNMENT PAC","C00492686","31-JAN-11","Y"
"3693",201705170300157440,"HONEST GOVERNMENT PAC","C00492686","12-MAY-17",""
"3694",201605090300073536,"HONEST GOVERNMENT PAC","C00492686","09-MAY-16",""
"3695",29992962409,"HONEYWELL INTERNATIONAL POLITICAL ACTION COMMITTEE","C00096156","16-OCT-09","Y"
"3696",29933399686,"HONEYWELL INTERNATIONAL POLITICAL ACTION COMMITTEE","C00096156","27-MAR-09","Y"
"3697",201712139089183936,"HONEYWELL INTERNATIONAL POLITICAL ACTION COMMITTEE","C00096156","13-DEC-17","Y"
"3698",201708099070303040,"HONEYWELL INTERNATIONAL POLITICAL ACTION COMMITTEE","C00096156","09-AUG-17","Y"
"3699",12952284741,"HONEYWELL INTERNATIONAL POLITICAL ACTION COMMITTEE","C00096156","09-JUL-12","Y"
